Title,Price,Beds,SQFT,Date Listed,Link
need to move ASAP ?! Credit an issue ?,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-need-to-move-asap-credit-an/7130660116.html
Sweet 3-4 b 1 BATHROOM AVAIL Now! Excellent Spot! Updated.,$520,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/smyrna-sweet-bathroom-avail-now/7142174350.html
need to move ASAP ?! Credit an issue ?,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-need-to-move-asap-credit-an/7130665200.html
"On-site Maintenance, Package Receiving, Balcony",$1516,1br,935ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-on-site-maintenance-package/7142251065.html
"Business Center, Pool, Washer/Dryer",$1400,2br,1152ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-business-center-pool-washer/7142169857.html
"Complimentary Wi-Fi at Pool and Clubhouse, On-Site Maintenance, Pantry",$1458,2br,1343ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-complimentary-wi-fi-at-pool-and/7143499570.html
Bright and Cheery! This lovely house has a beautiful living room that,$1195,3br,2047ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/kennesaw-bright-and-cheery-this-lovely/7143453288.html
"Additional storage, Private balcony, Upgraded hardware",$1015,2br,885ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/douglasville-additional-storage-private/7143494890.html
IMMEDIETAE MOVE IN! One Bedroom One bath for June! Northern Pines Apts,$775,1br,950ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/clarkston-immedietae-move-in-one/7143497954.html
The PERFECT 1 bedrm-Available in AUG! Chelsea Court Apartments,$785,1br,700ft2,Jun 17,https://atlanta.craigslist.org/atl/apa/d/clarkston-the-perfect-1-bedrm-available/7143497927.html
bad credit - you do have options,$350,N/A,N/A,Jun 17,https://atlanta.craigslist.org/atl/apa/d/atlanta-bad-credit-you-do-have-options/7133924595.html
